Question,Option 1,Option 2,Option 3,Option 4,Correct Answer,Points
1. ‘পূর্বাশা’ পত্রিকার সম্পাদক ছিলেন—,মুন্সী মেহেরুল্লা,সঞ্জয় ভট্টাচার্য,কামিনী রায়,মােজাম্মেল হক,সঞ্জয় ভট্টাচার্য,1
2. পাহাড়তলী গ্রামে জন্মগ্রহণ করেন—,মুকুন্দরাম চক্রবর্তী,সৈয়দ শামসুল হক,শামসুর রাহমান,সঠিক উত্তর নেই.,শামসুর রাহমান,1
3. ‘সাহচর্য’ শব্দের শুদ্ধ গঠন কোনটি?,সহ + চর + র্য,সহচর + ৎ ফলা,সহচর + য,কোনটিই নয়,সহচর + য,1
4. রবীন্দ্রনাথের ‘সােনার তরী’ কবিতা কোন ছন্দে রচিত?,স্বরবৃত্ত,কায় অক্ষরবৃত্ত,মন্দাক্রান্তা,মাত্রাবৃত্ত,মাত্রাবৃত্ত,1
5. নিচের কোনটি মীর মশাররফ হােসেনের জন্ম-মৃত্যু সাল?,১৮৪৭-১৯১১,১৮৫২-১৯১২,১৮৫৭-১৯১১,১৮৪৭-১৯১২,১৮৪৭-১৯১১,1
6. অপ’ কী ধরনের উপসর্গ?,সংস্কৃত,বাংলায়,বিদেশি,মিশ্র.,সংস্কৃত,1
7. নিচের কোনটি অঘােষ অল্পপ্রাণ ধ্বনি?,ভ,ঠ,ফ,চ,চ,1
8. কাঁঠালপাড়ায় জন্মগ্রহণ করেন কোন লেখক?,শরৎচন্দ্র চট্টোপাধ্যায়,সুভাষ মুখােপাধ্যায়,কাজী ইমদাদুল হক,বঙ্কিমচন্দ্র চট্টোপাধ্যায়,বঙ্কিমচন্দ্র চট্টোপাধ্যায়,1
9. বাংলা ভাষায় ছন্দ প্রধানত কত প্রকার?,২ প্রকার,৪ প্রকার,৩ প্রকার,৫ প্রকার,৩ প্রকার,1
10. ঠাকুরমার ঝুলি’ কী জাতীয় রচনার সংকলন?,রুপকথা,ছােটগল্প,গ্রাম্যগীতিকা,রূপকথা-উপকথায়,রুপকথা,1
11. “সকালে উঠিয়া আমি মনে মনে বলি সারাদিন আমি যেন ভাল হয়ে চলি।” এই চরণদ্বয়ের লেখক-,রবীন্দ্রনাথ ঠাকুর,কুসুমকুমারী দাশ,মদনমােহন তর্কালঙ্কার,কৃষ্ণচন্দ্র মজুমদার,মদনমােহন তর্কালঙ্কার,1
12. বাগাড়ম্বর শব্দের সন্ধি-বিচ্ছেদ –,বাগ + অম্বর,বাগ + আড়ম্বর,বাক্ + অম্বর,বাক্ + আড়ম্বর,বাক্ + আড়ম্বর,1
13. ‘আফতাব’ শব্দের সমার্থ কোনটি?,অর্ণব,রাতুল,অর্ক,জলধি,অর্ক,1
14. কোন কবি নিজেকে বাঙালি বলে পরিচয় দিয়েছেন?,গােবিন্দ দাস,কায়কোবাদ আর,কাহ্নপা,ভুসুকুপা,ভুসুকুপা,1
15. Anatomy শব্দের অর্থ-,সাদৃশ্য,স্নায়ুতন্ত্র,শারীরবিদ্যা,অঙ্গ-সঞ্চালন,শারীরবিদ্যা,1
16. জ্যোৎস্নারাত কোন সমাসের দৃষ্টান্ত?,মধ্যপদলােপী কর্মধারয়,ষষ্ঠী তৎপুরুষ,পঞ্চমী তৎপুরুষ,উপমান কর্মধারয়,মধ্যপদলােপী কর্মধারয়,1
17. ‘অনীক’ শব্দের অর্থ—,সূর্য,সমুদ্র,যুদ্ধক্ষেত্র,সৈনিক,সৈনিক,1
18. আধ্যাত্মিকা’ উপন্যাসের লেখক কে?,প্যারীচাঁদ মিত্র,রবীন্দ্রনাথ ঠাকুর,দামােদর বন্দ্যোপাধ্যায়,শরৎচন্দ্র চট্টোপাধ্যায়,প্যারীচাঁদ মিত্র,1
19. নিচের কোনটি শরৎচন্দ্র চট্টোপাধ্যায়ের ছদ্মনাম?,বীরবল,ভিমরুল,অনিলাদেবী,যাযাবর,অনিলাদেবী,1
20. বাংলা ভাষার আদি নিদর্শন চর্যাপদ আবিস্কৃত হয় কত সালে?,২০০৭,১৯০৭,১৯০৯,১৯১৬,১৯০৭,1
"21. “In each of the following questions, out of the given alternatives, choose the one that best expresses the meaning of the given word: IMPROVEMENT”",Promotion,Advancement,Betterment,Preference,Betterment,1
22. AMICABLE,Interesting,Loving,Affectionate,Friendly,Friendly,1
"23. “In each of the following questions, choose the word opposite in meaning to the given word : LIABILITY”",Treasure,Debt,Assets,Property,Assets,1
24. HATE,Admire,Abhor,Concern,Loathe,Admire,1
"25. “In each of the following questions, out of the four alternatives, choose the one which can be substituted for the given words/sentence: A song embodying religious and sacred emotions-“",lyrics,Ode,Hymn,Ballad,Hymn,1
26. Time after twilight and before night-,Evening,Dawn,Dusk,Eclipse,Dusk,1
27. “Fill in the blanks in the following sentences by selecting the most appropriate alternative from among the four choices given : Parliamentary democracy demands discipline and — to the rules.”,Adherence,respectful,knowledge,awareness,Adherence,1
28. Reason is the highest faculty – on human by their creator.,entrusted,endowed,bestowed,Conferred,bestowed,1
29. Rishan walks as if he_____ lame.,is,had been,has,were,were,1
30. “One of the four sentences given in each question is grammatically wrong. That alternative is your answer :”,Neither you nor I am in a sound position.,Laziness is detrimental for success,He begged the favour of my granting him leave,Your action is not in conformity with the law,Laziness is detrimental for success,1
31. “a. He has no desire for fameb. I intend going to Rajshahic. He is too miserly to part with his moneyd. He has invited me for dinner”,a,b,c,d,b,1
32. “Each of the following idioms is followed by some alternatives. Choose the one which best expresses its meaning: To keep one’s head”,to save oneself,to be self respectful,to keep calm,None of these,to keep calm,1
33. To put the cart before the horse,to offer a person what he cannot eat,to force a person to do something,to raise obstacle,to reverse the natural order of things,to reverse the natural order of things,1
34. To read between the lines,to concentrate,to suspect,to read carefully,to grasp the hidden meaning,to grasp the hidden meaning,1
"35. “In each of the following questions, a sentence has been given in active (or passive) voice. Out of the four alternatives suggested, select the one which best expresses the same sentence in passive (or Active) voice : I know him “",He is known by me,He was known to me,He has been known by me,He is known to me,He is known to me,1
36. A lion may be helped even by a little mouse.,A little mouse may even help a lion,Even a little mouse may help a lion,A little mouse can even help a lion,Even a little mouse ought to help a lion,Even a little mouse may help a lion,1
37. “Choose the correctly spelt word :”,Liesure,Leisure,Leasure,Lesiure,Leisure,1
38. “A. SuperceedB. SuperseedC. SupercedeD. Supersede”,A,B,C,D,D,1
"39. “Of the four alternatives given under each sentence, find the one that best, fits into the blank space:The horror movie scared them out of their_____”",wits,seats,lives,Funds,wits,1
40. The people who carry a coffin at a funeral are called to___,undertakers,supporters,pallbearers,mourners,pallbearers,1
41. একটি মিনারের পাদদেশ হতে 20 মিটার দূরের একটি স্থান হতে মিনারটির শীর্ষবিন্দুর উন্নতি কোণ (30°30 \degree30°) হলে মিনারটির উচ্চতা কত?,(20320 \sqrt{3}203​) মিটার,(203\frac{20}{\sqrt{3}}3​20​) মিটার,20 মিটার,(10310 \sqrt{3}103​) মিটার,(203\frac{20}{\sqrt{3}}3​20​) মিটার,1
42. বৃত্তের কেন্দ্র ছেদকারী জ্যা কে কী বলা হয়?,ব্যাস,ব্যাসার্ধ,বৃত্তচাপ,পরিধি,ব্যাস,1
43. দুটি সন্নিহিত কোণের সমষ্টি দুই সমকোণ হলে একটিকে অপরটির কী বলে?,সন্নিহিত কোণ,সরলকোণ,পূরককোণ,সম্পূরক কোণ,সম্পূরক কোণ,1
44. a + b = 7 এবং (a2+b2=25a^2 + b^2 = 25a2+b2=25) হলে নিচের কোনটি ab এর মান হবে?,12,10,6,কোনটিই নয়,12,1
45.log⁡a(mn)\log_{a} (\frac{m}{n})loga​(nm​)= কত?,(log⁡am−log⁡an\log_{a}m - \log_{a}nloga​m−loga​n),(log⁡am+log⁡an\log_{a}m + \log_{a}nloga​m+loga​n),(log⁡am×log⁡an\log_{a}m \times \log_{a}nloga​m×loga​n),কোনটিই নয়,(log⁡am−log⁡an\log_{a}m - \log_{a}nloga​m−loga​n),1
46. একটি আয়তক্ষেত্রের দৈর্ঘ্য প্রস্থের দ্বিগুণ। আয়তক্ষেত্রটির ক্ষেত্রফল 1250 বৰ্গমিটার হলে এর দৈর্ঘ্য কত?,30 মিটার,40 মিটার,50 মিটার,60 মিটার,50 মিটার,1
47. f(x) = (x3+kx2−6x−9x^3 + kx^2-6x-9x3+kx2−6x−9); k-এর মান কত হলে f(3) = 0 হবে?,1,-1,2,0,0,1
48. নিচের কোনটি মৌলিক সংখ্যা?,৯১,৮৭,৬৩,৫৯,৫৯,1
49.3x3+2x2–21x−203x^3 + 2x^2 – 21x - 203x3+2x2–21x−20রাশিটির একটি উৎপাদক হচ্ছে—,x + 2,x – 2,x + 1,x – 1,x + 1,1
"50. ৩, ৯ ও ৪ এর চতুর্থ সমানুপাতিক কত?",৪,১৪,১৬,১২,১২,1
51. ১৩ ¾ % এর সমান,১১/৮০,১১/২০,১/৯,১/৮,১১/৮০,1
52. কোন ত্রিভুজের বাহুগুলাের অনুপাত নিচের কোনটি হলে একটি সমকোণী ত্রিভুজ অংকন সম্ভব হবে?,৬ : ৫ : ৪,৩ : ৪ : ৫,১২ : ৮ : ৪,৬ : ৪ : ৩,৩ : ৪ : ৫,1
53. দুটি ত্রিভুজ পরস্পর সর্বসম হওয়ার জন্য নিচের কোন শর্তটি যথেষ্ট নয়?,একটির তিনবাহু অপরটির তিন বাহুর সমান,একটির তিন কোণ অপরটির তিন কোণের সমান,একটির দুই কোণ ও একবাহু অপরটির দুইকোণ ও অনুরূপ বাহুর সমান,একটির দুই বাহু ও অন্তর্ভুক্ত কোণ অপরটির দুই বাহু ও অন্তর্ভুক্ত কোণের সমান,একটির তিন কোণ অপরটির তিন কোণের সমান,1
54. a – 1/a = 3 হলেa3+1/a3a^3 + 1/a^3a3+1/a3এর মান কত?,9,18,27,36,9,1
55. নিম্নের কোনটি বৃত্তের সমীকরণ?,ax2+bx+c=0ax^2 + bx + c = 0ax2+bx+c=0,y2=axy^2 = axy2=ax,x2+y2=16x^2 + y^2 = 16x2+y2=16,y2=2x+7y^2 = 2x + 7y2=2x+7,x2+y2=16x^2 + y^2 = 16x2+y2=16,1
56. x> y এবং z< 0 হলে নিচের কোনটি সঠিক?,xz > yz,x/z > y/z,z/x < z/y,xz < yz,xz < yz,1
57. “ক ও খ একত্রে একটি কাজ ১২ দিনে করতে পারে। ক একা কাজটি ২০ দিনে করতে পারে।খ একা কাজটি কত দিনে করতে পারবে?”,২৫ দিনে,৩০ দিনে,৩৫ দিনে,৪০ দিনে,৩০ দিনে,1
58. একটি সংখ্যা ৩০১ হতে যত বড় ৩৮১ হতে তত ছােট। সংখ্যাটি কত?,৩৪০,৩৪১,৩৪২,৩৪৪,৩৪১,1
59. নিচের কোনটি ক্ষুদ্রতম সংখ্যা?,০.৩,&#8730 ০.৩,১/৩,২/৫,০.৩,1
"60. কোন লঘিষ্ঠ সংখ্যার সাথে ২ যােগ করলে যােগফল ১২, ১৮ এবং ২৪ দ্বারা বিভাজ্য হবে?",৮৯,৭০,১৭০,১৪২,৭০,1
61. ফল পাকানাের জন্য দায়ী কী?,ইথিলিন,প্রপিন,লাইকোপেন,মিথিলিন,ইথিলিন,1
62. স্টিফেন হকিন্স বিশ্বের একজন অতিশয় বিখ্যাত –,দার্শনিক,পদার্থবিদ,কবি,রসায়নবিদ,পদার্থবিদ,1
63. কোন জারক রস পাকস্থলীতে দুগ্ধ জমাট বাধায়?,পেপসিন,এমাইলেজ,রেনিন,ট্রিপসিন,রেনিন,1
64. কোন মাধ্যমে শব্দের গতি সর্বাপেক্ষা কম?,শূন্যতায়,কঠিন পদার্থে,তরল পদার্থে,বায়বীয় পদার্থে,বায়বীয় পদার্থে,1
65. কম্পিউটার থেকে কম্পিউটারে তথ্য আদান-প্রদানের প্রযুক্তিকে বলা হয়-,ই-মেইল,ইন্টারকম,ইন্টারনেট,টেলিগ্রাম,ইন্টারনেট,1
66. বিশ্ব পরিবেশ দিবস কোনটি?,৫ মে,৫ জুন,১৫ মে,১৫ জুন,৫ জুন,1
67. নবায়নযােগ্য জ্বালানি কোনটি?,পরমাণু শক্তি,কয়লা,পেট্রোল,প্রাকৃতিক গ্যাস,পরমাণু শক্তি,1
68. কিসের অভাবে ফসলের পরিপকৃতা বিলম্বিত হয়?,দস্তা,সালফার,নাইট্রোজেন,পটাশিয়াম,সালফার,1
69. জমির লবণাক্ততা নিয়ন্ত্রণ করে কোনটি?,কৃত্রিম সার প্রয়ােগ,পানি সেচ,জমিতে নাইট্রোজেন ধরে রাখা,প্রাকৃতিক সার প্রয়ােগ,পানি সেচ,1
70. কত বছর পর পর হ্যালির ধূমকেতু দেখা যায়?,৭০ বছর,৬৫ বছর,৭৬ বছর,৮০ বছর,৭৬ বছর,1
71. সুনামির (Tsunami) কারণ হলাে—,আগ্নেয়গিরির অগ্ন্যুৎপাত,ঘূর্ণিঝড়,চন্দ্র ও সূর্যের আকর্ষণ,সমুদ্র তলদেশের ভূমিকম্প,সমুদ্র তলদেশের ভূমিকম্প,1
72. ডেঙ্গু জ্বরের বাহক কোন মশা?,কিউলেক্স,এডিস,এ্যানােফিলিস,সব ধরনের মশা,এডিস,1
73. অ্যালুমিনিয়াম সালফেটকে চলতি বাংলায় কী বলে?,ফিটকিরি,চুন,সেভিং সােপ,কস্টিক সােডা,ফিটকিরি,1
74. এনজিওপ্লাস্টি হচ্ছে-,হৃৎপিণ্ডের বন্ধ শিরা বেলুনের সাহায্যে ফোলানাে,হৃৎপিণ্ডে নতুন শিরা সংযােজন,হৃৎপিণ্ডের মৃত টিস্যু কেটে ফেলে দেয়া,হৃৎপিণ্ডের টিস্যুতে নতুন টিস্যু সংযােজন,হৃৎপিণ্ডের বন্ধ শিরা বেলুনের সাহায্যে ফোলানাে,1
75. “ডায়াবেটিস রােগ সম্পর্কে যে তথ্যটি সত্য নয় তা হলাে—“,রােগ মানবদেহের কিডনি নষ্ট করে,চিনিজাতীয় খাবার বেশি খেলে এ রােগ হয়,এ রােগ হলে রক্তে গ্লুকোজের মাত্রা বৃদ্ধি পায়,ইনসুলিনের অভাবে এ রােগ হয়,চিনিজাতীয় খাবার বেশি খেলে এ রােগ হয়,1
76. “রঙিন টেলিভিশন থেকে ক্ষতিকর রশ্মি বের হয়”,গামা রশ্মি,বিটা রশ্মি,কসমিক রশ্মি,রঞ্জন রশ্মি,গামা রশ্মি,1
77. বৈদ্যুতিক পাখা ধীরে ধীরে ঘুরলে বিদ্যুৎ খরচ-,কম হয়,খুব কম হয়,একই হয়,বেশি হয়,একই হয়,1
78. সংকর ধাতু পিতলের উপাদান-,তামা ও টিন,তামা ও দস্তা,তামা ও নিকেল,তামা ও সিসা,তামা ও দস্তা,1
79. গ্রিন হাউস ইফেক্টের পরিণতিতে বাংলাদেশের সবচেয়ে গুরুতর ক্ষতি কী হবে?,বৃষ্টিপাত কমে যাবে,নিম্নভূমি নিমজ্জিত হবে,উত্তাপ অনেক বেড়ে যাবে,সাইক্লোনের প্রবণতা বাড়বে,নিম্নভূমি নিমজ্জিত হবে,1
80. রাসায়নিক অগ্নিনির্বাপক কাজ করে অগ্নিতে,হাইড্রোজেন সরবরাহ করে,নাইট্রোজেন সরবরাহ করে,অক্সিজেন সরবরাহ করে,অক্সিজেন সরবরাহে প্রতিবন্ধকতা সৃষ্টি করে,অক্সিজেন সরবরাহে প্রতিবন্ধকতা সৃষ্টি করে,1
81. কিরগিজস্তানের রাজধানী কোথায়?,বিশকেক,আলমা আতা,আশখাবাদ,উলানবাটোর,বিশকেক,1
82. FIFA প্রতিষ্ঠিত হয় কবে?,১৯০৪,১৯২৪,১৯১৪,১৯০৫,১৯০৪,1
83. বিশ্ব মানবাধিকার দিবস কবে পালিত হয়?,২৬ জুন,১ আগস্ট.,১ মে,১০ ডিসেম্বর,১০ ডিসেম্বর,1
84. কবে রেডক্রস প্রতিষ্ঠিত হয়?,১৮৬৩ সালে,১৮৬৮ সালে,১৮৬৬ সালে,১৮৬১ সালে,১৮৬৩ সালে,1
85. কোথায় সেনাবাহিনী নেই?,সুদান,সাইপ্রাস,মালদ্বীপ,ভুটান,মালদ্বীপ,1
86. হাজার হ্রদের দেশ কোনটি?,নরওয়ে,ফিনল্যান্ড,ইন্দোনেশিয়া,জাপান,ফিনল্যান্ড,1
87. নিম্নের কোন দেশটি G-8 এর সদস্য নয়?,জাপান,যুক্তরাজ্য,ফ্রান্স,সুইডেন,সুইডেন,1
88. আলফ্রেড নােবেল কী আবিষ্কার করেন?,ডিনামাইট,বিদ্যুৎ,পােলিও টিকা,কয়লা,ডিনামাইট,1
89. বিশ্বের সবচেয়ে বড় অর্থনৈতিক জোট কোনটি?,EU,WTO,NATO,FIFA,EU,1
90. ষোড়শ সার্ক সম্মেলন কোথায় অনুষ্ঠিত হয়?,ঢাকা,কাঠমান্ডু,থিম্পু,মালে,থিম্পু,1
91. বাংলাদেশের জাতীয় ফল কোনটি?,আম,কাঁঠাল,কলা,পেঁপে,কাঁঠাল,1
92. ক্রিকেট বাংলাদেশ কোন সালে টেস্ট মর্যাদা পায়?,১৯৯৮,১৯৯৯,২০০০,২০০১,২০০০,1
93. দেশের প্রথম ঔষধ পার্ক কোথায় স্থাপিত হচ্ছে?,গজারিয়া,গাজীপুর,সাভার,ভালুকা,গজারিয়া,1
94. ৬-দফা দাবি কোথায় উত্থাপিত হয়?,ঢাকা,লাহাের,দিল্লি,চট্টগ্রাম,লাহাের,1
95. বাংলাদেশের নির্বাহী বিভাগ থেকে বিচার বিভাগ কবে পৃথক করা হয়?,৩১-১০-০৭,১-১১-০৭,১-১০-০৭,৩-১১-০৭,১-১১-০৭,1
96. সাগরকন্যা কোন এলাকার ভৌগােলিক নাম?,টেকনাফ,কক্সবাজার,পটুয়াখালী,খুলনা,পটুয়াখালী,1
97. বাংলাদেশের নদী গবেষণা ইনস্টিটিউট কোথায়?,ফরিদপুর,চাঁদপুর,চট্টগ্রাম,কুষ্টিয়া,ফরিদপুর,1
98. গণপ্রজাতন্ত্রী বাংলাদেশের মনােগ্রামে কতটি তারকা চিহ্ন রয়েছে?,৪টি,৫ টি,৬টি,২টি,৪টি,1
99. প্রাচীন চন্দ্রদ্বীপের বর্তমান নাম কী?,মালদ্বীপ,সন্দ্বীপ,হাতিয়া,বরিশাল,বরিশাল,1
"100, বখতিয়ার খিলজি বাংলা জয় করেন কোন সালে?",১২১২,১২০০,১২১১,১২০৪,১২০৪,1
