Question,Option 1,Option 2,Option 3,Option 4,Correct Answer,Points
1.চর্যাপদ কোন ছন্দে লেখা?,অক্ষরবৃত্ত,মাত্রাবৃত্ত,স্বরবৃত্ত,অমিত্রাক্ষর ছন্দ,মাত্রাবৃত্ত,1
2.কবিওয়ালা ও শায়েরের উদ্ভব ঘটে কখন?,আঠারাে শতকের শেষার্ধে ও উনিশতকের প্রথমার্ধে,ষােড়শ শতকের শেষার্ধে ও সপ্তদশ শতকের প্রথমার্ধে,সপ্তদশ শতকের শেষার্ধে ও আঠারাে শতকের প্রথমার্ধে,উনিশ শতকের শেষার্ধে ও বিংশ শতকের প্রথমার্ধে,আঠারাে শতকের শেষার্ধে ও উনিশতকের প্রথমার্ধে,1
3.কবি গানের প্রথম কবি কে?,গোঁজলা পুট,হরু ঠাকুর,ভবানী ঘােষ,নিতাই বৈরাগী,গোঁজলা পুট,1
4.‘কেন পান্থ ক্ষান্ত হও হেরি দীর্ঘ পথ?’—কার লেখা?,কৃষ্ণ চন্দ্র মজুমদার,ঈশ্বরচন্দ্র গুপ্ত,কামিনী রায়,যতীন্দ্র মােহন বাগচী,কৃষ্ণ চন্দ্র মজুমদার,1
5.কোন চরণটি সঠিক?,ধন ধান্যে পুষ্পে ভরা,ধন্য ধান্যে পুষ্পে ভরা,ধণ্যে ধান্যে পুষ্পে ভরা,ধন্যে ধান্য পুষ্পে ভরা,ধন ধান্যে পুষ্পে ভরা,1
6.কোন বানানটি শুদ্ধ নয়?,দরিদ্রতা,উপযােগিতা,শ্রদ্ধাঞ্জলি,উৰ্দ্ধ,উৰ্দ্ধ,1
7.‘গৃহী’ শব্দের বিপরীতার্থক শব্দ,সংসারী,সঞ্চয়ী,সংস্থিতি,সন্ন্যাসী,সন্ন্যাসী,1
8.Excise duty-র পরিভাষা কোনটি?,অতিরিক্ত কর,আবগারি শুল্ক,অর্পিত দায়িত্ব,অতিরিক্ত কর্তব্য,আবগারি শুল্ক,1
9.কোন বাক্যটি শুদ্ধ?,তােমার গােপন কথা শােনা আমার পক্ষে সম্ভব নয়,দরিদ্রতা আমাদের প্রধান সমস্যা,সলজ্জিত হাসি হেসে মেয়েটি উত্তর দিল,সর্ব বিষয়ে বাহুল্যতা বর্জন করা উচিত,দরিদ্রতা আমাদের প্রধান সমস্যা,1
10.তুমি আসবে বলে হে স্বাধীনতা। সখিনা বিবির কপাল ভাঙল।’—এটি কোন বাক্য?,সরল,মিশ্র বা জটিল,যৌগিক,সংযুক্ত,মিশ্র বা জটিল,1
11.কোনটি ‘অগ্নি’-র সমার্থক শব্দ নয়?,পাবক,বৈশ্বানরত,সর্বশুচি,প্রজ্জলিত,প্রজ্জলিত,1
12.কোনটি সঠিক বানান?,নিশিথিনী,নীশিথিনী,নিশীথিনী,নিশিথিনি,নিশীথিনী,1
13.কোনটি ‘কোলন’?,;,:,*,“ “,:,1
14.বাংলা সাহিত্যের অন্যতম বিশিষ্ট পত্রিকা কল্লোল’ কত সালে প্রথম প্রকাশিত হয়?,১৯২৩ সালে,১৯২৪ সালে,১৯২৫ সালে,১৯২৭ সালে,১৯২৩ সালে,1
15.কোন গ্রন্থটি সুকান্ত ভট্টাচার্য কর্তৃক রচিত?,হরতাল,পালাবদল,উত্তীর্ণ পঞ্চাশে,অন্বিষ্ট স্বদেশ,হরতাল,1
16. ‘ঢাকের কাঠি’ বাগধারার অর্থ কি?,কপট ব্যক্তি,ঘনিষ্ঠ সম্পর্ক,হতভাগ্য,মােসাহেব,মােসাহেব,1
17.বঙ্কিমচন্দ্র চট্টোপাধ্যায়ের বিষবৃক্ষ’ উপন্যাসের চরিত্র কোনটি?,কুন্দনন্দিনী,শ্যামাসুন্দরী,বিমলা,রােহিনী,কুন্দনন্দিনী,1
18.কোন বানানটি শুদ্ধ? কোন বানানটি শুদ্ধ?,পিপিলিকা,পিপীলিকা,পীপিলিকা,পিপিলীকা,পিপীলিকা,1
19.”গীতাঞ্জলির ইংরেজি অনুবাদ সম্পাদনা করেছেন____“,এজরা পাউন্ড,টি.এস. এলিয়ট,ডবলিউ বি. ইয়েটস,কীটস,ডবলিউ বি. ইয়েটস,1
20.”””The Origin and Development of Bengali Language’ গ্রন্থটি রচনা করেছেন“,ড. মুহম্মদ শহীদুল্লাহ,ড. সুনীতি কুমার চট্টোপাধ্যায়,হরপ্রসাদ শাস্ত্রী,স্যার জর্জ গ্রিয়ারসন,ড. সুনীতি কুমার চট্টোপাধ্যায়,1
21. “Pick appropriate preposition for the following sentence :Noureen will discuss the issue with Nasir-phone.”,in,over,by,on,over,1
22. “Put appropriate preposition for the sentence below: Some writers sink — oblivion in course of time.”,on,from,under,into,into,1
23. Call to mind’ means-,fantasize,attend,remember,Request,remember,1
24. ‘Pass away’ means-,disappear,die,erase,fall,die,1
25. “Pick the word that is synonymous with ‘authoritarian’.”,autocratic,senior,elderly,potential,autocratic,1
26. The word ‘permissive’ implies-,humble,law-abiding,liberal,submissive,liberal,1
27. ” Pick the correct part to fill in the gap of the following sentence — Each of the sons followed — father’s trade”,their,Her,whose,his,his,1
28. ‘Subject-Verb Agreement” refers to —,person only,Number,person and gender,numberand person,numberand person,1
29. The only error in the sentence “One of the recommendation made by the committee was accepted by the authorities” is,recommendation,was,accepted by,committee,recommendation,1
30. “The French’ refers to”-,the French people,the French language,the French manners,the French society,the French people,1
"31. ” If a person cannot stop taking drugs, he or she is_______ “",attached to them,committed to them,addicted to them,devoted to them,addicted to them,1
32. ” The word ‘officialese’ means-“,plural number of official,language used in offices,plural number of office,vague expression,language used in offices,1
33. ” The verb ‘succumb’ means “,achieve,submit,win,conquer,submit,1
34. ” Fill in the blank with the appropriate part We look forward — a response from you”,to receiving,to receive,in receiving,for receiving,in receiving,1
"35. “If a part of a speech or writing breaks the theme, it is called- “",pomposity,Digression,exaggeration,anti-climax,anti-climax,1
36. “The expression ‘take into account’ means “,count numbers,Consider,think seriously,Assess,Consider,1
37. ” Choose the best translation of কর্তৃপক্ষ তাকে তিরস্কার করলাে’ from the alternative below”,The authorities criticised him,The autHorities took him to book,The authorities gave reins to him,The authorities took him to task,The authorities took him to task,1
38. “Such claim needs to be tested empirically” suggests that,The test should be based on assumption,The test should be based on idea,The test should be based on experience,The test should be based on calculation.,The test should be based on idea,1
39. “The idiom “”put up with”” means- “,stay together,tolerate,keep trust,protect,tolerate,1
40. ” In many ways, riding a bicycle is similar to — ",driving a car,when one drives a car,the driving of a car,when we drive a car,driving a car,1
41.”তিন সদস্যের একটি বিতর্কদলের সদস্যদের গড় বয়স ২৪ বছর। যদি কোনাে সদস্যের বয়সই ২১ বছরের নিচে না হয় তবে তাদের কোনাে একজনের সর্বোচ্চ বয়স কত?“,২৫ বছর,৩০ বছর,২৮ বছর,৩২ বছর,৩০ বছর,1
42. ১, ১, ২, ৩, ৫, ৮, ১৩, ২১,………. ধারার ১০ম পদ কত?",৩৪,৫৫,৪৮,৬৪,৫৫,1
43. মুজিবনগর কোন জেলায় অবস্থিত?,যশাের,কুষ্টিয়া,মেহেরপুর,চুয়াডাঙ্গা,মেহেরপুর,1
44. বাংলাদেশের সেন্টমার্টিন দ্বীপ কোন জেলায়?,ভােলা,নােয়াখালী,চট্টগ্রাম,কক্সবাজার,কক্সবাজার,1
45. বাংলাদেশের সর্বাধিক বৈদেশিক মুদ্রা অর্জনকারী বিষয় কি?,প্রবাসী শ্রমিক,পাট,রেডিমেড গার্মেন্টস,চামড়ার,রেডিমেড গার্মেন্টস,1
46. শালবন বিহার কোথায়?,গাজীপুর,মধুপুর,রাজবাড়ী,কুমিল্লার ময়নামতি পাহাড়ের পাশে|,কুমিল্লার ময়নামতি পাহাড়ের পাশে|,1
47. সাবাস বাংলাদেশ’ ভাস্কর্যটি কোথায় অবস্থিত?,টিএসসি মােড়ে,ঢাকা বিশ্ববিদ্যালয়ে,রেসকোর্স ময়দানে,রাজশাহী বিশ্ববিদ্যালয়ে,রাজশাহী বিশ্ববিদ্যালয়ে,1
48. এশিয়া কাপ ক্রিকেট, ২০১২ কোন স্টেডিয়ামে অনুষ্ঠিত হয়?",বঙ্গবন্ধু জাতীয় স্টেডিয়াম,শেরে বাংলা জাতীয় স্টেডিয়াম,বাংলাদেশ আর্মি স্টেডিয়াম,রাজশাহী স্টেডিয়াম,শেরে বাংলা জাতীয় স্টেডিয়াম,1
49. বাংলাদেশের জাতীয় দিবস কবে?,১৬ই ডিসেম্বর,৭ই মার্চ,২৬শে মার্চ,১৭ই এপ্রিল,২৬শে মার্চ,1
50. শ্রীলঙ্কার মুদ্রার নাম কি?,ডলার,পাউন্ড,টাকা,রূপী,রূপী,1